,ZIP,Total Releases,Total Population,Percent_White,Percent_Black_African_American,Percent_American_Indian,Percent_Asian,Percent_Native_Hawaiian_PI,Percent_Other_Race,Percent_Hispanic_Latino,Percent_50_PL,Percent_125_PL,Percent_185_PL,Percent_200_PL,Percent_300_PL,Percent_400_PL,Percent_500_PL,Total Releases Binned
43,76401,71449.128,29014,78.33459709105949,1.7543254980354313,2.3092300268835735,0.9443716826359688,0.09305852347142758,4.380643827117943,18.401461363479697,9.143861584062867,23.643758185703454,33.387330254359966,36.689184531605434,51.81981112566347,67.29509891776384,77.727993382505,4
44,78409,69643.59445708196,2722,23.98971344599559,0.7347538574577517,0.440852314474651,0.0,0.5510653930933138,2.6083761939750185,74.72446730345335,3.7472446730345332,15.099191770756795,26.340925789860396,29.537105069801616,63.299044819985305,70.49963262307128,85.30492285084496,4
45,77642,67605.0,38606,16.90410816971455,28.55514686836243,0.7719007408174895,9.394912707869244,0.12174273429000673,2.085168108584158,43.74190540330519,12.347821582137492,35.11889343625344,50.217582759156606,53.587525255141685,73.27099414598767,83.09848210122779,88.16505206444593,4
46,77856,64782.00206815402,5132,78.48791893998441,9.89867498051442,0.7599376461418551,0.3117692907248636,0.0,0.0,8.826968043647701,2.1434138737334374,14.185502727981294,25.44816835541699,26.948558067030397,45.226032735775526,66.50428682774748,78.29306313328136,4
47,77615,62656.59135615394,1084,85.42435424354244,0.0,0.0,1.6605166051660518,0.0,0.46125461254612543,0.46125461254612543,1.6605166051660518,5.442804428044281,17.343173431734318,17.343173431734318,38.92988929889299,67.619926199262,70.38745387453874,4
48,75155,61475.0,3233,46.52025982060006,1.9795855242808538,3.0312403340550573,0.0,0.0,12.619857717290442,50.78874110733065,4.887101763068358,19.3628209093721,39.746365604701516,41.88060624806681,68.26476956387256,83.82307454376739,92.85493349829879,4
49,78359,59671.630671843486,1977,9.205867475973697,0.3540718259989884,0.0,0.3540718259989884,0.0,0.9104704097116844,88.87202832574607,8.750632271117857,20.890237733940314,37.83510369246333,39.706626201315125,62.16489630753668,76.07486090035407,84.7749114820435,4
50,77051,59337.770000000004,17185,2.449810881582776,77.17777131219087,0.1978469595577539,1.1114343904567936,0.0,3.5612452720395695,17.387256328193192,12.6389292988071,40.41897003200465,57.79458830375327,63.18300843759093,80.89031131800989,88.51905731742798,90.9979633401222,4
51,77414,57018.212,23642,40.36883512393199,14.63074190000846,0.3087725234751713,0.8205735555367567,0.4864224684882836,18.56441925387023,42.44564757634718,10.464427713391423,26.524828694695877,38.09745368412148,39.97123762795026,58.988241265544374,70.2943913374503,79.39683613907454,4
52,79007,54145.09123458719,14186,66.38939799802623,1.4239390948822783,1.6072183843225716,0.35246017200056395,0.9516424644015226,2.6152544762441847,28.17566614972508,6.442971944170309,23.354010996757367,32.97617369237276,35.66192020301706,57.76117298745241,70.01973776963203,78.54927393204568,4
