,ZIP,101. TOTAL RELEASES
107,79110,142958.08
108,77586,136885.86760000003
109,75706,123465.572
110,78942,122957.01000000001
111,79915,118805.9
112,76708,116288.4
113,79022,115519.0
114,77073,115276.0
115,79905,115237.07
116,77045,112873.39229999999
117,76504,111751.943
118,76010,110504.93600000002
119,77422,107610.0
120,77471,106823.02831
121,79762,106224.16760000003
122,78132,104621.13727645935
123,76011,103372.41
124,76086,102205.87720000002
125,79714,101826.18211509999
126,75160,98412.93100000001
127,78264,98171.8571
128,75652,95706.57
129,77039,95098.35
130,78621,92035.85
131,78602,90610.731
132,75482,90214.78
133,78419,90140.0
134,79065,89668.0
135,76367,89335.0
136,77535,88648.6272
137,75670,84436.51
138,77539,81801.0
139,76401,77860.128
140,79602,77827.3864
141,78112,77204.37020000002
142,76140,74570.1099
143,79782,73794.3
144,75148,69960.45885180001
145,75941,66749.92000000001
146,75968,64007.0002
147,77469,64004.0605
148,75570,62730.28019554979
149,75155,61475.0
150,75708,61296.628
151,77095,60466.0
152,75951,57920.8502
153,77704,56967.971999999994
154,76040,56771.4254
155,75672,56618.1323
156,78257,56097.44
157,75934,54332.700000000004
158,79758,53516.1388
159,75633,52818.54
160,76704,51631.25
161,76305,51496.813200000004
162,75702,51242.773674062126
163,79045,50649.0
164,77581,50426.533800000005
165,75227,50345.527799999996
166,75243,49796.555
167,79741,49099.0
168,77833,48978.59
169,76031,48699.45083757317
170,79068,47742.330930000004
171,78362,46929.866311000005
172,77587,44072.841
173,75460,44033.65
174,78119,42670.0
175,76053,42285.33960000001
176,75167,41898.8212
177,75050,41715.74192
178,79603,40721.7406
179,77011,40480.2804
180,75461,40000.0
181,76240,39022.1149
182,75751,38723.015
183,75236,38541.317
184,75042,38455.92300000001
185,78118,36211.4
186,75692,36055.033
187,75069,35984.8594
188,75688,34755.672
189,78611,34320.569
190,77064,34052.833414
191,77445,33982.0
192,76067,33919.26
193,77656,33623.5512
194,77003,33206.408
195,77859,32883.33
196,75080,32615.5
197,79730,32571.0
198,77040,31730.13
199,78217,31324.019999999997
200,77493,30975.91732
201,76448,30780.9
202,75901,29790.8
203,78526,29643.0
204,78610,29325.561199999996
205,76104,29022.54
206,77484,28676.886300000002
207,75939,27852.310524038174
208,75134,26834.0
209,78721,26624.973999999995
210,76205,25433.3024
211,75061,25240.417999999998
212,75657,24058.000345799057
213,77093,23755.254
214,77417,22918.0
215,79415,22883.501500000002
216,77087,22427.9047
217,75603,22121.988
218,76118,21558.585
219,75766,21358.17
220,76306,21194.0
221,76117,20780.0
222,75644,20216.7876
223,75507,19911.04
224,79706,19653.982
225,79934,19106.0
226,75668,18760.009000000002
227,76950,18089.0
228,77044,17923.192999999996
229,77023,17884.341
230,79118,17035.4
231,79072,17003.0
232,76036,16999.071400000004
233,78414,16922.0
234,76634,16850.629999999997
235,75261,16730.0
236,78648,16720.0
237,78045,16395.0
238,75063,16191.042
239,78041,15747.615
240,75961,15322.768927866897
241,75060,15061.0
